,mfcc,contrast,tonnetz,chroma,class
96,"[-4.98265442e+02  8.81630554e+01  6.59015119e-01  3.42087898e+01
  6.21756029e+00  8.97824669e+00 -1.25577307e+01  1.53816586e+01
 -4.96357012e+00 -7.75005341e+00 -2.44541097e+00  3.13202739e+00
 -7.53621101e-01 -7.40754890e+00  4.37376738e+00  3.06525588e-01
 -2.26808354e-01 -2.66719651e+00  3.32799149e+00 -2.75171280e+00
 -6.57524824e+00  3.96285701e+00 -1.14379175e-01 -2.33684707e+00
  1.61401403e+00 -3.52847838e+00  3.75211406e+00  1.81966484e+00
 -1.09367931e+00  4.04616499e+00  8.27639773e-02 -4.19493556e-01
 -1.10404432e+00 -2.11953688e+00 -2.21301198e+00 -1.75826955e+00
 -1.83041000e+00 -2.77715135e+00 -2.64138651e+00 -9.84897971e-01]","[22.18895128 14.24354112 16.50428403 14.97139613 18.68790624 19.38671807
 40.28998191]",[-0.01617775 -0.02305813  0.0561961  -0.02712164  0.00315019 -0.02535327],"[0.5911262  0.69775236 0.7742086  0.70151985 0.5882862  0.519579
 0.50033283 0.5272849  0.5734733  0.5885329  0.60973066 0.5988862 ]",ahmeda
97,"[-5.23564941e+02  8.79003220e+01  5.58770418e+00  3.46091347e+01
  1.12751305e+00  8.90992165e+00 -1.06425295e+01  1.49755192e+01
 -5.12602329e+00 -9.63340855e+00 -1.47817147e+00  3.97927856e+00
 -5.22384167e-01 -7.06105614e+00  5.36665154e+00  1.02093863e+00
  2.88573295e-01 -3.15811419e+00  1.17584908e+00 -5.34186172e+00
 -3.19850826e+00  4.70292854e+00 -3.10046291e+00 -8.27899396e-01
  2.30221197e-01 -9.51554239e-01  4.20329046e+00 -6.21127546e-01
 -1.39631963e+00  2.26164174e+00 -5.79854608e-01 -7.73356318e-01
 -1.20593870e+00 -1.81656313e+00 -1.13757706e+00 -6.87186658e-01
 -2.08782673e+00 -2.53836226e+00 -2.01732516e-01 -1.05240107e+00]","[22.30730003 14.61825899 16.92881946 15.74491313 18.4888052  19.36747269
 40.78440577]",[ 0.00702758 -0.0231342   0.05337672 -0.01952128 -0.00805165 -0.03133685],"[0.61137825 0.70604724 0.7648903  0.688879   0.6095838  0.56017864
 0.5221691  0.53002673 0.5587614  0.5595958  0.60739976 0.60275984]",ahmeda
98,"[-5.04753601e+02  8.48406067e+01  4.06096935e+00  3.68890533e+01
  3.67404819e+00  8.56304741e+00 -1.17005558e+01  1.72232914e+01
 -8.74946594e+00 -1.00576935e+01 -2.11749029e+00  2.22017479e+00
 -3.26629341e-01 -8.32671165e+00  5.16284370e+00  5.32880843e-01
 -1.95850670e+00 -2.35760546e+00  1.85765660e+00 -7.51829576e+00
 -4.54170036e+00  5.53778791e+00 -3.14794850e+00 -1.37200725e+00
  6.06634557e-01 -2.90783167e+00  3.41387272e+00 -3.63765597e-01
 -1.88504755e+00  2.02576804e+00 -1.12821746e+00 -1.57312894e+00
 -1.05477190e+00 -3.10699010e+00 -2.24991846e+00  2.64870422e-03
 -2.25771618e+00 -2.36400199e+00 -3.72493744e-01 -1.87085116e+00]","[22.24580996 14.46366979 16.59647882 15.8148702  18.75759207 19.26017522
 40.46207563]",[-0.01117352 -0.00271463  0.01840041  0.00027809 -0.00658034 -0.0097242 ],"[0.5946534  0.65018034 0.7345707  0.7619293  0.67196405 0.5453361
 0.4996049  0.5068527  0.55695474 0.59163153 0.6140269  0.62842923]",ahmeda
99,"[-5.1147699e+02  7.8597633e+01  6.1906743e+00  3.5834797e+01
  7.0251312e+00  8.7824955e+00 -9.0773745e+00  1.6316765e+01
 -4.6088881e+00 -8.3341265e+00 -9.7547275e-01  3.0930109e+00
 -7.4032080e-01 -6.1321177e+00  4.6128402e+00  3.1332622e+00
  2.0361069e-01 -2.6830609e+00  2.5645936e+00 -5.4015045e+00
 -3.9102509e+00  4.7778020e+00 -1.0382929e+00 -9.9951959e-01
  1.7352529e+00 -1.4200282e+00  3.2590942e+00 -6.8830943e-01
 -2.0578616e+00  2.5304906e+00 -1.1526999e+00 -1.0353518e+00
 -1.6188318e+00 -1.5646490e+00 -5.2420157e-01 -7.8532243e-01
 -2.1951299e+00 -2.1241338e+00 -8.2612646e-01 -1.2461196e+00]","[20.14189815 13.53541107 16.67862639 15.45786655 18.93502814 20.19170708
 40.06002459]",[ 0.00850131 -0.0196165   0.0583507  -0.0245083  -0.03149564 -0.00122471],"[0.55250794 0.6301824  0.73075986 0.69544774 0.60298425 0.5125207
 0.50523317 0.50080764 0.57273704 0.58933586 0.59427106 0.57926315]",ahmeda
100,"[-5.2399078e+02  9.1437355e+01  5.4532647e+00  3.5115669e+01
  7.4400959e+00  1.0815606e+01 -9.7854452e+00  1.8047112e+01
 -5.4293313e+00 -8.6472759e+00 -1.1038038e+00  2.4715016e+00
 -7.4674058e-01 -6.1059208e+00  4.3901877e+00  2.3561506e+00
  1.2048117e-01 -2.7405813e+00  3.2795963e+00 -3.0998259e+00
 -3.8019247e+00  4.6892986e+00  4.8724446e-02 -1.2217851e+00
  1.7361866e+00 -1.1350027e+00  4.2675266e+00  5.4290026e-01
 -1.5336086e+00  4.4626508e+00  4.0358803e-01 -1.4659162e-01
  1.1653934e-01 -1.1541352e+00 -6.1594236e-01 -2.0085871e+00
 -2.0241904e+00 -2.7504101e+00 -1.3336130e+00 -1.6238273e+00]","[23.02146146 14.86513618 16.62866527 15.03190121 18.66577675 19.40267386
 40.2473855 ]",[ 0.03078922 -0.02141668  0.03775949  0.00475336 -0.0193436   0.00259238],"[0.5658102  0.6212599  0.7324242  0.72133833 0.6284087  0.5226317
 0.47990802 0.4859784  0.5317889  0.5816664  0.56349564 0.5887593 ]",ahmeda
101,"[-5.0297095e+02  9.0338547e+01  1.5937548e+00  3.9643433e+01
  5.8702917e+00  7.9062967e+00 -1.2520893e+01  1.9930960e+01
 -6.2622046e+00 -6.2784424e+00 -1.3578123e+00  3.6801503e+00
  5.5849504e-01 -8.8621998e+00  6.5964894e+00  1.4590375e+00
 -2.4001901e+00 -8.4587234e-01  4.2975502e+00 -3.7204945e+00
 -3.1250041e+00  5.4028134e+00 -9.4516027e-01 -2.2165773e+00
  1.9441420e+00 -3.1218028e+00  3.1126225e+00  1.3183368e+00
 -1.8874781e+00  2.7701271e+00 -3.4426519e-01 -9.6902102e-01
 -1.4123217e+00 -2.3786907e+00 -1.7134539e+00 -1.4687452e+00
 -2.7013016e+00 -1.8226912e+00 -7.4560678e-01 -1.5587957e+00]","[21.05989424 15.30141276 17.76149812 16.07464023 19.5705368  19.72867854
 39.8271867 ]",[ 0.00102182  0.00522891  0.03557558  0.03073691 -0.01140591  0.02020918],"[0.56191593 0.65638435 0.7033435  0.6023001  0.5631773  0.4949264
 0.44408137 0.47808298 0.51863754 0.50837684 0.51253915 0.53741276]",ahmeda
102,"[-5.3348706e+02  8.5479942e+01  1.2091765e+01  3.8956741e+01
  5.8149238e+00  1.1208473e+01 -7.2677956e+00  1.8560539e+01
 -4.7730289e+00 -5.1148458e+00 -1.9990810e+00  3.4867084e+00
  4.9603030e-01 -6.3189826e+00  5.9970641e+00  2.3713119e+00
 -1.1414818e-01 -1.6651746e+00  3.1215026e+00 -4.6598644e+00
 -3.8456457e+00  4.4199467e+00 -6.9795400e-01 -4.6323419e-01
  1.1159674e+00 -2.1103702e+00  3.4872258e+00 -9.3290418e-01
 -1.7343684e+00  3.1233418e+00 -4.7503161e-01 -5.3856158e-01
 -1.1759142e+00 -2.1420860e+00 -3.5373160e-01 -7.0687491e-01
 -2.1468215e+00 -2.5053113e+00 -1.0610743e+00 -1.2829758e+00]","[21.75288663 14.13798208 16.48171664 15.66991301 17.9188665  19.58441802
 40.22401051]",[-0.00093997 -0.03440304  0.01142045  0.02249357 -0.03423935 -0.01511941],"[0.58100975 0.7157352  0.7844706  0.6652604  0.5599112  0.52958196
 0.53461695 0.5834668  0.61679214 0.596744   0.56856054 0.5750305 ]",ahmeda
103,"[-5.1417157e+02  9.0645744e+01  1.1335180e+01  3.1517321e+01
  4.6579194e+00  8.9145298e+00 -8.3653946e+00  1.4790903e+01
 -4.4207568e+00 -9.8031492e+00 -2.6493983e+00  3.5827630e+00
 -2.9580915e-01 -4.3313375e+00  5.6674652e+00  7.3605770e-01
  2.9724259e+00 -3.0122147e+00  2.8309548e+00 -3.0350890e+00
 -6.5751429e+00  5.8893209e+00  1.9199619e-01 -5.5371070e-01
  9.5381314e-01 -3.6673856e+00  1.6149873e+00 -2.7989569e-01
 -1.2116568e+00  2.7077241e+00  1.0592656e-01 -2.0992091e+00
 -2.2342284e+00 -1.2240646e+00 -2.6390641e+00 -1.1029456e+00
 -1.3974029e+00 -2.7668655e+00 -1.8559523e+00 -1.9808143e+00]","[21.2771622  14.20421904 16.98772799 16.03970598 18.43025299 19.16807432
 41.0467035 ]",[-0.00500425  0.02593631  0.0174278   0.05890162 -0.00977487 -0.00401053],"[0.5939423  0.6585803  0.764427   0.74634194 0.6125579  0.49152267
 0.4800166  0.4972763  0.5566026  0.59461844 0.61832523 0.59616846]",ahmeda
104,"[-5.1876508e+02  8.5861908e+01  2.2465069e+00  3.5692776e+01
  2.5933504e+00  2.2143135e+01 -2.1648060e+01  1.6388275e+01
  5.0267977e-01 -1.2845732e+00 -6.5801425e+00  5.2167802e+00
  1.4538379e+00 -2.8434682e+00  5.4654431e+00  1.1317006e+00
 -4.1396296e-01 -2.7024391e+00  2.6178682e+00 -2.9260628e+00
 -1.8778582e+00 -8.6908646e-02  4.7130075e-01  1.6142285e+00
  1.6991642e+00 -1.6133677e+00  1.9922411e+00  4.2335838e-01
 -1.4736981e+00  2.0676775e+00  1.3475662e-01 -1.2442292e+00
  1.5384953e+00 -2.4279683e+00  6.4453286e-01 -1.5339844e+00
 -5.1067621e-01 -1.1020285e+00 -3.3159878e+00  6.2351745e-01]","[21.61839087 13.70858781 16.29398802 14.25995189 19.47868491 20.12086004
 40.09020326]",[ 0.04518332 -0.05026475  0.00465862 -0.00759642 -0.01026122 -0.00167136],"[0.6554423  0.6675507  0.7323538  0.6905533  0.56575084 0.509868
 0.5563372  0.5716846  0.6118895  0.68390054 0.6560399  0.6360057 ]",ahmeda
105,"[-5.17170654e+02  8.26683884e+01 -1.71542192e+00  3.49735489e+01
  9.29700211e-02  1.95367508e+01 -2.26607571e+01  1.27025213e+01
 -2.70236182e+00 -1.25440300e+00 -6.02499342e+00  4.64922953e+00
  1.26900645e-02 -6.06675577e+00  7.08172894e+00  2.24236870e+00
 -3.74749613e+00 -3.65330291e+00  2.83788180e+00 -3.82390261e+00
 -3.91790128e+00 -1.76819587e+00 -1.21361351e+00  8.77934694e-01
  1.99191558e+00 -3.40241551e+00  1.69181943e+00  1.44499528e+00
 -1.25196123e+00  2.94139814e+00 -6.14969015e-01 -2.92575383e+00
  2.98329771e-01 -2.49251676e+00  7.10563004e-01 -2.08840537e+00
 -9.29458380e-01 -5.47549725e-01 -2.86453080e+00  2.01054230e-01]","[21.46934565 13.19013459 16.24552364 13.94846511 19.2813612  20.26038582
 39.86376531]",[-0.00229615 -0.01298732  0.06804387 -0.02493988 -0.00415442 -0.02714027],"[0.6415925  0.6513825  0.7463499  0.7451386  0.5826318  0.47206566
 0.53148466 0.58250165 0.5722136  0.6123521  0.6237456  0.6377206 ]",ahmeda
106,"[-5.0300693e+02  6.4650909e+01  7.6764770e+00  3.7675209e+01
  6.4243108e-01  1.9376410e+01 -2.6078800e+01  1.9881147e+01
 -6.9186276e-01 -2.9745188e+00 -1.8460165e+00  8.0624924e+00
 -1.9243443e+00 -6.5607324e+00  8.0994587e+00  1.0058099e+00
 -2.1292388e+00 -2.4573469e+00  1.4900851e+00 -3.1764956e+00
 -2.9282670e+00  5.9103310e-01 -6.0452223e-01 -1.4180744e+00
 -2.4110928e+00 -3.3823800e+00  2.6853440e+00 -3.1403298e+00
 -1.2544082e+00  1.2235094e+00 -7.0374358e-01 -1.8352195e+00
 -1.6348504e+00 -2.0939693e+00  6.9317144e-01 -1.5705475e+00
 -1.6306683e+00 -5.1343369e-01 -3.4067247e+00 -4.6697222e-02]","[23.02514243 14.39028034 17.30415237 14.57281158 20.85464566 21.22707498
 41.27755516]",[-0.01624307  0.00082908 -0.00310402  0.05762569  0.00694206  0.02290228],"[0.51090544 0.57346296 0.6661763  0.62111574 0.479352   0.50322163
 0.5380208  0.5440827  0.6016539  0.5974089  0.4896629  0.4870474 ]",ahmeda
107,"[-5.18486877e+02  7.19640427e+01  7.13154221e+00  3.50146599e+01
  5.03377104e+00  1.79348431e+01 -1.82393322e+01  1.59426603e+01
  8.58815491e-01 -1.71940163e-01 -2.09039736e+00  6.91448832e+00
  7.01351106e-01 -4.63548279e+00  9.08597279e+00  7.40323961e-01
 -1.15570033e+00 -1.72840643e+00  3.02304387e+00 -2.61138463e+00
 -4.63376045e+00  2.66771704e-01 -1.46254408e+00  8.42053592e-01
 -1.19258285e-01 -4.47908115e+00  2.24552703e+00  8.41669559e-01
 -8.34653556e-01  2.63057065e+00 -4.35733944e-01 -1.67906678e+00
 -8.30199793e-02 -1.57351696e+00  1.67197859e+00 -1.45743895e+00
 -5.86644530e-01 -1.84749603e+00 -2.86090565e+00  3.61553669e-01]","[21.66742016 13.68402144 16.34712615 14.55488366 19.99307912 20.22487268
 40.33839196]",[-0.02546561  0.02933453 -0.01905402  0.0716657   0.000883    0.01759318],"[0.62257856 0.64021975 0.72949886 0.65518826 0.52295953 0.495136
 0.5158579  0.5926128  0.6333945  0.6507207  0.61003584 0.5634518 ]",ahmeda
108,"[-5.21815552e+02  7.69783401e+01  4.48906136e+00  3.94031639e+01
  2.97297072e+00  1.84811325e+01 -1.96840305e+01  1.52136536e+01
  3.90283018e-01  2.34782815e+00 -4.33826542e+00  5.21601725e+00
 -1.18141994e-01 -5.82661009e+00  7.70028782e+00  3.34501457e+00
 -1.00031877e+00 -1.86311567e+00  4.05800819e+00 -2.58499789e+00
 -4.27868795e+00 -4.18644309e-01 -8.65730047e-01  2.44498253e-02
  2.49049544e+00 -3.78751159e+00  2.08230209e+00  1.43469667e+00
 -1.40295482e+00  2.75347304e+00  2.50422090e-01 -1.60617805e+00
  3.58928472e-01 -1.66104174e+00  7.16336966e-01 -9.98340666e-01
  9.02488455e-02  4.50118244e-01 -2.71909499e+00  3.68907630e-01]","[22.44955921 14.29347023 16.32319286 14.84271396 19.16739106 20.54790176
 39.91306259]",[-0.02092227  0.03075365  0.08071105  0.08855284 -0.01109307 -0.01604455],"[0.63698536 0.66857195 0.7461428  0.6660453  0.5491323  0.51417404
 0.54901546 0.5986276  0.6548657  0.6587878  0.6225375  0.59201914]",ahmeda
109,"[-5.2673401e+02  8.0429764e+01  7.6645088e+00  3.6588268e+01
  4.8795366e+00  2.0639269e+01 -1.9244671e+01  1.4548409e+01
  1.8635688e+00 -6.9828588e-01 -4.5656347e+00  5.1370988e+00
 -9.4180697e-01 -3.5550096e+00  7.8999486e+00  3.4004719e+00
 -1.2655607e+00 -3.0093136e+00  4.0116568e+00 -3.7760878e+00
 -4.5198197e+00 -4.3869960e-01 -8.2768482e-01 -5.9952759e-03
  8.4495984e-02 -2.8148746e+00  1.5292256e+00 -3.7282887e-03
 -4.2603844e-01  2.0103226e+00 -2.1695895e+00 -3.0688524e+00
 -2.5497711e-01 -1.8428279e+00  2.5262326e-01 -3.1324899e+00
 -1.0571083e+00 -3.4355262e-01 -1.7014920e+00 -1.0475472e+00]","[21.9576938  12.68837042 16.42397563 14.51272057 19.99181188 19.96769302
 39.95055093]",[ 0.00677342 -0.01785138 -0.00139441  0.02317146 -0.01558926 -0.00214934],"[0.6197203  0.6551804  0.758237   0.7097794  0.5656903  0.5064681
 0.5186693  0.57645917 0.59183294 0.6109572  0.63259727 0.60461533]",ahmeda
110,"[-5.2128479e+02  8.5509483e+01  3.5684764e+00  3.7847935e+01
  4.2101846e+00  1.8610741e+01 -1.9874285e+01  1.4543485e+01
 -6.6476816e-01 -4.1028867e+00 -4.2093759e+00  5.0359297e+00
 -1.5082893e+00 -5.1242008e+00  6.5236306e+00  2.3694813e+00
 -2.0305188e+00 -3.0138607e+00  2.7745457e+00 -4.4186168e+00
 -4.2363720e+00 -9.9842191e-01 -2.1834190e+00  5.8620995e-01
  8.2860410e-02 -3.8459694e+00  1.8372785e+00 -5.9298992e-01
 -2.4104664e+00  2.2229221e+00 -5.3865975e-01 -1.9261459e+00
 -3.0235517e-01 -2.5647418e+00  1.0407161e+00 -2.4857290e+00
 -1.3618960e+00 -1.8088102e+00 -2.1455221e+00 -1.8124455e-01]","[21.8261443  13.90480542 16.31147109 14.37240942 19.56016064 20.40908728
 39.50442274]",[ 0.02038407 -0.00558329  0.02929754 -0.0104974  -0.01753253  0.01019846],"[0.64881474 0.7515175  0.71784073 0.61397195 0.5157545  0.5407885
 0.5820982  0.57273513 0.63322127 0.625172   0.56711704 0.61719567]",ahmeda
111,"[-5.1873633e+02  8.1240059e+01  2.4786193e+00  3.6076900e+01
  3.3766499e+00  2.0898405e+01 -2.1751263e+01  1.4119795e+01
 -9.9393034e-01 -1.2394130e+00 -3.8037863e+00  5.3167915e+00
 -8.1521589e-01 -4.5221486e+00  6.6269746e+00  1.8051814e+00
 -2.2615647e+00 -2.6551831e+00  4.1567421e+00 -3.9679201e+00
 -3.7344532e+00 -7.7230680e-01 -1.7869103e+00  1.2654911e+00
 -2.2152518e-01 -3.2856858e+00  1.7300202e+00 -2.3002377e-01
 -7.9059833e-01  1.9916631e+00  4.0504003e-01 -1.3358940e+00
 -4.7577721e-01 -3.5582275e+00  2.6250035e-01 -1.9329197e+00
 -7.8348798e-01 -1.7682881e+00 -2.8255193e+00 -1.2441151e-01]","[22.31732013 13.30587782 16.01236594 14.41347292 19.1496848  20.38670608
 40.51148472]",[-0.0064697   0.03984     0.05366609  0.00615341 -0.0271557   0.02866207],"[0.6514995  0.6898893  0.73473376 0.6702877  0.591341   0.5442875
 0.585523   0.58220136 0.6413964  0.670719   0.645111   0.62097245]",ahmeda
112,"[-5.3224402e+02  8.7241127e+01  4.1312308e+00  3.0469227e+01
  4.3550525e+00  1.6505627e+01 -1.8018925e+01  1.1916767e+01
  2.5028274e+00  8.1892139e-01 -1.4035401e+00  2.7469742e+00
 -6.0999107e-01 -2.9613454e+00  4.5181093e+00  5.1241904e-01
 -2.0786019e-02 -3.1293792e-01  4.4601126e+00 -2.3979232e+00
 -3.7706454e+00 -6.2023711e-01 -9.6930975e-01  1.1021074e+00
 -8.0191165e-02 -3.0435200e+00  6.3510507e-01  4.8779562e-01
 -5.9402728e-01  1.5196205e+00 -1.4744307e-01 -1.9139438e+00
 -3.1658288e-02 -7.7019620e-01  1.4965074e+00 -1.0776995e+00
 -1.0754229e+00 -1.3081422e+00 -1.4245633e+00 -3.3230698e-01]","[22.12002254 12.68552874 15.53393297 14.63902455 19.1333432  18.94900378
 40.18074503]",[ 0.00938298  0.027817    0.00827239  0.00548838 -0.02253352  0.00057678],"[0.61108327 0.65075713 0.72209793 0.67260784 0.5785851  0.5557042
 0.589895   0.6424089  0.68405694 0.6931373  0.6407318  0.5992381 ]",ahmeda
113,"[-5.2673267e+02  8.5713440e+01  5.4359584e+00  3.1671680e+01
  4.0516071e+00  1.8999792e+01 -1.8039337e+01  1.3091584e+01
  2.1562730e-01 -5.7814866e-01 -5.3147931e+00  4.6909246e+00
 -3.3937907e-01 -4.1644945e+00  6.2448092e+00  4.8351246e-01
 -1.2900075e+00 -2.9345341e+00  1.9921448e+00 -2.7078893e+00
 -3.1701641e+00 -2.5712150e-01 -6.5888062e-02  4.6815559e-01
  1.8246564e-01 -3.4493327e+00  1.6213062e+00  1.4703029e+00
 -1.8989875e+00  1.0304098e+00 -3.5266753e-02 -1.4848803e+00
  4.0157158e-02 -2.7606297e+00  6.0612339e-01 -1.0060269e+00
 -3.3584738e-01 -7.0145357e-01 -2.7018898e+00  1.1068366e-01]","[21.35914276 13.36314739 15.48471536 14.11974865 19.15998478 19.86477739
 40.01271611]",[ 0.00527743  0.07147291 -0.00034003  0.04226931  0.00212686  0.01903709],"[0.66390294 0.71431035 0.74176115 0.65908146 0.5420939  0.5337083
 0.5830581  0.6215564  0.664969   0.67633885 0.64578485 0.6162888 ]",ahmeda
114,"[-5.86482605e+02  1.11426941e+02  1.60095730e+01  3.08823566e+01
  3.16695333e+00  4.29985762e+00  5.48973608e+00  3.33334851e+00
 -8.96095085e+00 -1.19903636e+00 -1.33544598e+01 -1.07188015e+01
 -9.74562645e+00 -1.47957735e+01  2.47033501e+00 -7.99391937e+00
 -1.25649090e+01 -1.62510693e+00  4.37942314e+00 -2.54364777e+00
 -2.95419407e+00 -3.81223369e+00 -7.07051277e+00 -7.69068813e+00
 -9.52815437e+00  1.47935760e+00  7.01307356e-02 -7.52784634e+00
 -4.42326117e+00 -9.91037846e+00 -9.15222359e+00 -4.71457863e+00
 -8.60948563e+00 -5.50754356e+00 -6.65492535e-01 -7.44422197e-01
 -3.16242051e+00  1.74835193e+00  3.01128697e+00  3.10966706e+00]","[27.44673155 17.98918618 19.94741985 20.368875   19.4444183  21.51105548
 39.10446924]",[ 0.08884716 -0.04281619 -0.00793859  0.09739153  0.02339129 -0.0458753 ],"[0.35817197 0.37636915 0.41648677 0.4584967  0.495914   0.49317905
 0.41631562 0.36169034 0.3469564  0.31025007 0.23702262 0.27318656]",omar
115,"[-5.96920288e+02  1.09271286e+02  9.07110405e+00  3.31479797e+01
  4.89054346e+00  2.33126783e+00  8.07326889e+00 -2.94155979e+00
 -1.08159056e+01 -5.37221956e+00 -9.04360008e+00 -7.37303305e+00
 -7.65638018e+00 -1.05298328e+01 -1.03759992e+00 -2.38681579e+00
 -1.10002022e+01 -6.86103582e+00  8.11584949e+00 -2.77518439e+00
 -8.64660931e+00 -1.54615775e-01 -5.29470015e+00 -4.13224411e+00
 -3.28618240e+00 -6.13364220e+00 -4.23745012e+00 -7.06817102e+00
 -6.93149090e+00 -8.18309784e+00 -1.15296926e+01 -2.89651322e+00
 -5.76725483e+00 -8.99087048e+00  1.60469484e+00  1.63650525e+00
 -3.29679441e+00 -3.36381745e+00 -3.07929605e-01  1.58331633e+00]","[27.87169832 17.87135442 19.57520124 19.23067787 22.03343628 23.42772829
 36.69469693]",[ 0.07814678 -0.09927161  0.06912286  0.19326193  0.0694859  -0.02525343],"[0.30997226 0.380335   0.4699779  0.6186102  0.6274134  0.4425985
 0.37016168 0.4040607  0.3862669  0.30312443 0.2598995  0.28067473]",omar
116,"[-6.06537354e+02  1.10226265e+02  1.47695541e+01  3.66926613e+01
  3.99613690e+00  7.80343103e+00  7.59795523e+00  3.82876903e-01
 -9.27523232e+00 -2.84186316e+00 -1.02698050e+01 -7.55175400e+00
 -9.12570953e+00 -1.29246283e+01 -1.69390440e-01 -3.04484606e+00
 -9.70190811e+00 -9.12416935e+00  4.66584158e+00  1.07969975e+00
 -5.17734146e+00 -8.29950631e-01 -6.95981598e+00 -6.17233562e+00
 -7.78820634e-01 -4.37474537e+00 -8.42833936e-01 -5.32842541e+00
 -7.55534792e+00 -6.31593418e+00 -1.07735558e+01 -3.13536167e+00
 -4.75418472e+00 -5.37462044e+00  7.13550508e-01 -1.97700292e-01
 -3.38796210e+00 -3.64774132e+00 -3.44407439e+00 -1.47261679e+00]","[27.3112428  18.35419255 20.06368552 21.03859202 20.15634343 22.0515475
 37.77864189]",[-0.05057713 -0.05296752  0.15990346  0.03113712  0.02219163  0.0311369 ],"[0.34515712 0.36548853 0.48761392 0.61701226 0.5330143  0.3530049
 0.35665923 0.36851233 0.35217267 0.28889427 0.26027492 0.30927396]",omar
117,"[-6.0529938e+02  9.1764023e+01  7.8978882e+00  3.3774303e+01
  5.3183570e+00  1.1348930e+01  6.0632243e+00  2.4392712e+00
 -1.3060824e+01 -1.6893036e+00 -2.5131047e+00 -3.5041666e+00
 -6.4959631e+00 -9.1755371e+00  2.4826555e+00 -3.3275452e+00
 -8.7585430e+00 -3.9778707e+00  4.1074195e+00 -2.2662523e+00
 -3.9100542e+00 -2.4897931e+00 -6.7581048e+00 -4.3027630e+00
 -2.3268482e-01 -4.1115503e+00 -1.4840561e+00 -5.6119170e+00
 -5.2022438e+00 -5.9455161e+00 -9.1993656e+00 -6.3426918e-01
 -5.8268814e+00 -3.9965544e+00  2.2152150e-01  1.8713064e+00
 -5.5400229e-01 -1.5802658e+00  3.2416706e+00  2.8326297e+00]","[25.46927691 17.00568285 18.05974047 18.11080795 18.96241883 20.08844961
 40.16660923]",[ 0.07846557 -0.11383201 -0.01932196  0.0689779   0.05751065 -0.02491504],"[0.49505448 0.5042271  0.56357706 0.62282014 0.6402308  0.5510247
 0.53204834 0.5281327  0.49931726 0.39656493 0.33980566 0.39229125]",omar
118,"[-6.25326111e+02  9.33466034e+01  1.19246588e+01  3.38538628e+01
  1.01490965e+01  1.06136999e+01  6.71876574e+00  1.89702570e+00
 -8.49029446e+00 -7.65240073e-01 -4.16278076e+00 -3.92597055e+00
 -2.83797050e+00 -8.11168194e+00  2.87080002e+00 -3.10170221e+00
 -1.04849157e+01 -2.86185813e+00  2.87332630e+00 -3.43755054e+00
 -3.18498707e+00 -1.29469842e-01 -5.80262947e+00 -2.14359927e+00
 -1.17212713e+00 -7.32846069e+00 -1.13415909e+00 -5.88725615e+00
 -5.84787798e+00 -4.61591053e+00 -7.25390625e+00 -6.83456719e-01
 -6.35807371e+00 -2.64999604e+00  7.69878030e-01  1.49634898e+00
  5.77559233e-01  4.23621058e-01  1.55574989e+00 -1.86662292e+00]","[25.67829484 17.30957898 17.83805834 16.67898205 19.42951632 21.23554272
 39.99655151]",[ 0.0285862  -0.08387379 -0.05045129  0.01834675  0.02981082 -0.01682142],"[0.4534111  0.5051157  0.53399396 0.55679315 0.5613757  0.5741073
 0.5262853  0.54115593 0.515441   0.40598977 0.37552062 0.4110386 ]",omar
119,"[-6.02285156e+02  1.06484726e+02  1.01136227e+01  3.17619057e+01
  5.60037470e+00  5.82181406e+00  4.49050522e+00  1.55807269e+00
 -1.10414343e+01  5.28129458e-01 -4.78427887e+00 -5.99293566e+00
 -2.75906515e+00 -7.65317678e+00  4.19366312e+00 -2.67136073e+00
 -1.39447269e+01 -5.09102106e+00  5.67497730e+00 -3.77923203e+00
 -5.41787434e+00  6.09044671e-01 -4.29426432e+00 -3.18545389e+00
 -1.72460401e+00 -4.21217728e+00 -1.76040232e+00 -8.74971676e+00
 -3.92586184e+00 -5.49942112e+00 -1.00460052e+01 -6.98061645e-01
 -6.50865936e+00 -5.79184723e+00 -5.89171529e-01  4.41163492e+00
 -1.34647250e+00  1.02532245e-01  4.48106241e+00 -1.43976474e+00]","[25.95975608 17.34475612 17.59876997 17.79748714 19.74916806 21.34183656
 39.91093878]",[ 0.0637395  -0.07448875  0.0164502   0.10027671  0.04153068 -0.01864939],"[0.41648173 0.47886294 0.5314043  0.5641527  0.5763383  0.49368086
 0.45113954 0.42957526 0.4239387  0.36523962 0.32881662 0.34828454]",omar
