,mfcc,contrast,tonnetz,chroma,class
10,"[-5.0824860e+02  1.6146918e+02 -1.8695129e+01  2.4831509e+01
 -9.9762812e+00  4.7410569e+00 -7.5331388e+00 -4.5160241e+00
 -9.3964272e+00  9.3979797e+00  5.0807869e-01 -3.4898119e+00
  2.5290902e+00 -1.2240927e+01  7.0839009e+00 -7.6929623e-01
 -4.6310887e+00  1.1325655e+00 -2.0283365e+00 -8.0332403e+00
 -4.8378214e-01  4.7514987e-01 -4.7254601e+00  5.7956457e+00
  2.5472169e+00 -1.5165361e+00 -1.3614631e-01 -1.2110618e+00
 -4.5298209e+00 -4.6429992e-02  2.2149227e+00  6.4873469e-01
  2.4742479e+00 -6.4500988e-01 -2.9913778e+00 -2.6409976e+00
 -9.2822337e-01 -1.3436213e+00 -2.4794108e-01 -1.5183401e+00]","[22.08007043 14.62020725 15.85503299 16.72061529 18.18853979 21.77489085
 37.2428218 ]",[-0.04687864  0.01839661  0.11765487  0.09634947 -0.01564982 -0.03608486],"[0.48228726 0.516728   0.6446206  0.65964824 0.56832117 0.5170239
 0.56222475 0.65093505 0.6644722  0.5829999  0.45408034 0.4668389 ]",ibrahim
11,"[-4.5473041e+02  1.1964340e+02  3.0051637e+00  2.8884140e+01
 -5.6387055e-01  1.0295808e+00  4.3649139e+00  7.9505167e+00
 -1.7852978e+01  9.7790670e+00 -2.8663702e+00 -8.8137398e+00
  1.1486322e+00 -1.6659176e+01  1.5122658e+00  4.4672627e+00
 -9.1008263e+00 -5.2402635e+00  6.3875241e+00 -3.3399978e+00
 -1.2698609e+00  2.4710681e+00 -3.5166020e+00 -1.5895414e+00
 -1.7986168e+00 -5.3627343e+00 -4.3171468e+00  6.6212720e-01
  1.0215957e+00  2.8238199e+00  1.7907535e+00 -4.2504549e-01
  3.6240196e+00  3.4556691e-02 -3.2283387e+00  1.2829455e+00
 -1.2059233e+00 -2.3429120e+00 -2.6270330e+00 -4.4694886e+00]","[23.45838973 15.38694501 17.11911772 19.00327089 18.74422577 24.00546749
 39.40550255]",[ 0.00727971  0.042921   -0.07107976 -0.09767826  0.015052    0.00661341],"[0.34078735 0.40127522 0.4703102  0.4610087  0.54273015 0.53588194
 0.5016916  0.54599315 0.6189469  0.7386628  0.6004267  0.4044496 ]",ibrahim
12,"[-4.5047800e+02  1.0285962e+02  9.2797756e+00  2.2614134e+01
  2.0328696e+00  3.1258986e+00  4.0458255e+00  5.2303638e+00
 -1.0337775e+01  3.6018336e-01 -6.4858017e+00 -8.5069504e+00
  3.3001373e+00 -1.0987418e+01 -4.7314672e+00  1.6669606e+00
 -3.1776571e+00 -5.7460976e-01  9.5473462e-01 -3.8990941e+00
  1.8816375e+00  1.8800350e+00 -1.7576915e+00 -1.8280972e+00
 -5.6453400e+00 -2.2005289e+00  1.7755684e+00  8.8504368e-01
 -3.4650415e-01 -3.9951306e-02 -1.4744939e+00  1.5767697e+00
  2.2920296e+00 -3.1387520e+00 -1.5479683e+00 -5.1772904e-01
 -2.1953759e+00 -2.4069722e+00 -2.9733248e+00 -3.1109810e+00]","[22.96487743 15.28872815 16.3438976  18.08694866 18.18826819 20.83757838
 39.49258257]",[ 0.00254837  0.04006148 -0.04308785  0.1052179   0.02169762  0.0262126 ],"[0.58491194 0.5308981  0.5057094  0.59559035 0.6010041  0.53946877
 0.5141333  0.5616063  0.60834235 0.6336372  0.6133328  0.5730805 ]",ibrahim
13,"[-4.9048346e+02  1.2679284e+02 -1.3566942e+01  2.3382372e+01
  5.1674447e+00  5.6344600e+00  2.7310982e+00  5.5761662e+00
 -1.3605273e+01  1.0623896e+01 -2.8828084e+00 -9.2331371e+00
  5.2136502e+00 -9.4894857e+00  1.8751353e+00  5.7456918e+00
 -8.8477507e+00 -6.2981811e+00  2.2704124e+00 -5.2508268e+00
  1.6866784e+00  3.2535784e+00 -4.6336412e+00 -2.7419519e+00
 -2.5467283e-01 -3.2160277e+00 -3.7937574e+00 -1.3506924e+00
 -2.5984762e+00  2.0069291e-01  1.1191654e+00 -1.3948677e+00
  1.8486073e+00 -4.5601562e-01 -3.2992092e-01  2.2151659e+00
 -1.4975518e+00 -2.3114390e+00 -3.3840096e+00 -4.9766865e+00]","[21.81586361 16.60088571 17.36274132 18.69985068 18.83356121 22.83997766
 38.53451898]",[ 0.01675865 -0.01823122 -0.08407229  0.12022871 -0.03450401  0.02148594],"[0.43944836 0.41225603 0.465519   0.5383526  0.54092944 0.4939133
 0.526277   0.5794392  0.7171985  0.67307484 0.5669845  0.46891758]",ibrahim
14,"[-4.93328125e+02  1.41871201e+02 -1.27634535e+01  1.73067017e+01
  3.30794001e+00  4.56346273e+00  4.59177876e+00 -1.73675287e+00
 -8.87211895e+00  4.41488361e+00  1.78544313e-01 -4.34790039e+00
  3.44564605e+00 -1.13732185e+01  2.68748736e+00  5.23718452e+00
 -1.14652176e+01 -5.57420158e+00  9.94731367e-01 -9.30386126e-01
 -6.18141365e+00 -3.45735836e+00  1.14199638e+00 -2.12749457e+00
 -3.62104249e+00 -1.53361678e+00  1.11829209e+00 -4.92832327e+00
 -4.16470098e+00  5.25607252e+00 -7.77072072e-01 -2.75957513e+00
  3.83642578e+00  1.27229249e+00 -3.62795019e+00 -1.71385860e+00
  3.07513058e-01 -2.62216163e+00 -5.75730562e+00 -4.85263824e+00]","[23.2158081  16.050032   17.23995504 17.68258727 20.36253995 22.53505598
 35.58578965]",[ 0.09448242  0.01074012 -0.18413793  0.00250502  0.00189436  0.08498631],"[0.37765583 0.42164922 0.5219457  0.52278316 0.45335364 0.45648837
 0.4952821  0.46770343 0.56139815 0.6732274  0.61616427 0.463135  ]",ibrahim
15,"[-4.5533667e+02  1.3903778e+02  2.4767382e+00  2.7408197e+01
 -6.9301224e+00  1.0006278e+00 -5.9134655e+00  1.7839937e+00
 -1.7224758e+01  1.3884002e+01 -2.8627346e+00  1.6087389e+00
  2.2320366e+00 -1.2285824e+01  2.9431424e+00 -4.5320594e-01
 -5.2950268e+00 -4.9596548e+00  2.9904089e+00 -2.5854311e+00
 -7.2984493e-01 -6.5322387e-01 -2.7441127e+00 -2.3589921e+00
  2.1528974e+00 -4.2817788e+00 -2.3631136e+00  7.0392400e-01
 -3.1926937e+00  1.3027658e+00 -1.7491390e+00 -1.6460843e+00
  2.3296154e+00 -6.1210804e-02  1.1306812e+00  1.7239500e+00
 -2.6038356e+00 -2.3817229e+00 -3.6967692e+00 -2.2725787e+00]","[22.0865535  14.96573434 16.2721562  16.44226178 17.25503188 22.40837242
 39.26319756]",[ 0.07595977 -0.01483597 -0.09659047  0.00835743 -0.00110858  0.02847016],"[0.42305955 0.48611036 0.5097247  0.55658245 0.61768144 0.51294833
 0.5389135  0.61503345 0.6222052  0.6811508  0.5696309  0.4333948 ]",ibrahim
16,"[-4.5508585e+02  1.4532742e+02  5.1851788e+00  2.9533890e+01
 -4.8151999e+00  9.7850055e-01  9.5774032e-02  7.9561005e+00
 -1.5440509e+01  1.0800519e+01 -6.8969955e+00 -2.2532320e+00
  6.3575220e+00 -1.5157344e+01  6.2213864e+00  3.2375503e+00
 -9.2161741e+00 -4.5146327e+00  1.5563488e+00 -3.7291436e+00
 -4.7400445e-01  2.6928370e+00 -1.1679313e+00 -1.9258467e+00
  2.2554531e+00 -3.5834336e+00  5.0384164e-01  1.0835623e+00
 -6.7123604e-01  2.7599456e+00 -2.2975612e+00 -6.4951956e-01
 -5.8260095e-01 -1.5418571e+00 -9.1287059e-01  1.7035507e+00
 -3.8107769e+00 -4.5050306e+00 -1.4137388e+00 -3.5664902e+00]","[21.61241587 15.92052488 16.8543535  18.49292417 18.2328476  22.66801613
 40.01001043]",[ 0.07634187 -0.00083716 -0.1256043   0.03929014 -0.03128205  0.02761552],"[0.50120133 0.50386816 0.51877654 0.55605966 0.53112453 0.48490793
 0.48771888 0.5553582  0.6512569  0.6412357  0.5721749  0.49971682]",ibrahim
17,"[-4.54462860e+02  1.24076256e+02 -6.17800140e+00  2.27008801e+01
  4.13629532e+00  1.39960420e+00  5.00065994e+00  4.03210020e+00
 -1.47790918e+01  4.95519543e+00 -3.66191387e+00 -5.16648340e+00
  3.18349838e-01 -1.05546827e+01  4.98759031e+00  3.21931410e+00
 -9.64858341e+00 -6.62796736e+00 -1.67264789e-01 -7.74233007e+00
 -2.52681518e+00  2.91842818e-01 -5.60620308e+00 -4.47819948e+00
 -6.36994600e-01 -1.45417511e+00 -2.25661659e+00  1.47259283e+00
  1.70047200e+00  2.54176760e+00 -1.31678486e+00 -1.18593311e+00
 -1.32444859e+00 -3.01250839e+00  1.29938960e+00 -3.08201492e-01
 -3.78922415e+00 -3.19005632e+00 -2.12078929e+00 -3.68136215e+00]","[23.7494427  17.41252676 17.74141539 19.1012666  18.91226091 23.50471558
 38.03761393]",[ 0.03683338  0.01930871 -0.13848332 -0.04334385  0.01359433  0.03125631],"[0.38743338 0.42097977 0.41949946 0.4404126  0.493736   0.48247394
 0.48416916 0.494098   0.5126129  0.69970524 0.7084359  0.5349078 ]",ibrahim
18,"[-4.3458032e+02  1.3477419e+02 -5.9381986e+00  2.5452934e+01
 -1.4517231e+00  9.1684990e+00 -4.9076128e+00  5.5871820e+00
 -1.4124761e+01  9.1749773e+00 -2.7044711e+00 -2.8790858e+00
  2.4921801e+00 -9.9188089e+00  6.2527943e+00 -1.5271487e+00
 -1.2263458e+01 -5.1697497e+00  9.7075266e-01 -4.3168526e+00
  1.5070108e+00 -7.6096857e-01  3.0165276e-01  1.5090281e-01
 -1.0510324e+00 -3.4493909e+00 -1.6792649e+00  7.3004490e-01
 -1.4286600e+00  1.7266452e-01 -1.3000829e+00  1.3586541e+00
  1.7117188e+00 -1.6056818e+00 -1.8542999e-01  4.8669705e-01
 -4.5353956e+00 -2.8769546e+00 -2.1964371e+00 -4.6754704e+00]","[22.88574349 16.1100267  16.49627572 17.08160133 18.78968434 21.99940824
 39.34860547]",[ 0.04390129  0.02644391 -0.09273569  0.00416766 -0.01398326  0.01947956],"[0.46402884 0.58030957 0.5601977  0.5708413  0.55809414 0.5072133
 0.5377652  0.5762001  0.64055526 0.6362583  0.5172792  0.4719384 ]",ibrahim
19,"[-4.29739532e+02  1.14865944e+02  4.88353968e+00  1.91707840e+01
 -7.21471786e+00 -1.77035964e+00  2.33746982e+00  7.25703669e+00
 -1.22045441e+01  1.33632946e+00 -7.07017374e+00 -1.34226580e+01
  4.08689737e+00 -9.24271107e+00 -2.64266372e+00  3.26834798e+00
 -4.63588667e+00 -1.41945040e+00  4.15285498e-01 -4.63533449e+00
  2.37887001e+00  1.15305376e+00 -1.55003965e+00  1.99903262e+00
 -2.75552535e+00 -3.51367879e+00 -2.42095336e-01 -1.87951887e+00
 -7.96388090e-01  1.60781431e+00 -4.00492907e+00 -1.57579672e+00
  1.72814274e+00 -2.13963103e+00 -6.42481029e-01 -8.87365520e-01
 -2.70926094e+00 -2.28012681e+00 -3.68450427e+00 -4.50118303e+00]","[24.12132405 14.99680936 16.65700884 18.65431607 18.2244685  22.3192379
 39.07015372]",[-0.01270759  0.04415799 -0.00215472  0.02932964  0.02099478  0.00934531],"[0.5448441  0.47173712 0.48123983 0.52341574 0.55421126 0.48961714
 0.5125599  0.57174116 0.56287295 0.58943254 0.6846945  0.6542139 ]",ibrahim
